departamento,anio_min,anio_max,cantidad_ev,cantidad_ev_modelada,consumo_energetico,demanda_futura,total_activos_hidraulicos,capacidad_hidraulica_total,latitud_hidraulica_promedio,longitud_hidraulica_promedio,latitud,longitud,criterio_demanda,criterio_crecimiento_ev,criterio_soporte_hidraulico,criterio_cobertura_hidraulica,indice_prioridad_territorial,ranking_prioridad,categoria_prioridad,anio_escenario
ANTIOQUIA,2052,2052,0.0,552.7133333333334,162282.3378119237,48868.39656503179,72.0,3130.44,6.454070833333334,-75.37944583333334,6.454070833333334,-75.37944583333334,0.8876491194177979,0.7021067833326254,1.0,1.0,0.7656916827669069,1,ALTA,2052
BOGOTA D.C.,2052,2052,0.0,786.49,190724.34723481984,55053.51818663192,2.0,0.0,4.711,-74.0721,4.711,-74.0721,1.0,1.0,0.0,0.027777777777777776,0.7013888888888888,2,ALTA,2052
CUNDINAMARCA,2052,2052,0.0,325.78333333333336,103184.23954938272,26403.865027037038,17.0,836.25,4.692976470588235,-74.21617058823529,4.692976470588235,-74.21617058823529,0.479587636625579,0.41293802828866333,0.2671349714417143,0.2361111111111111,0.3675922644086433,3,MEDIA,2052
SANTANDER,2052,2052,0.0,77.02666666666667,15269.831309941519,4405.957924561403,6.0,837.0,6.538833333333334,-73.2935,6.538833333333334,-73.2935,0.08000224685773355,0.09595633521641253,0.2673745543757427,0.08333333333333333,0.10506064913104525,4,BAJA,2052
VALLE DEL CAUCA,2052,2052,0.0,102.15333333333334,13733.740738095239,4100.109278571429,12.0,569.0,3.9461333333333335,-76.44272500000001,3.9461333333333335,-76.44272500000001,0.07444659786582931,0.12797434481586883,0.18176358594957898,0.16666666666666666,0.10376881381686257,5,BAJA,2052
HUILA,2052,2052,0.0,17.51,1340.8511666666666,431.33119999999997,5.0,940.0,2.50884,-75.59212,2.50884,-75.59212,0.007804343597344387,0.02011638278893939,0.3002772773156489,0.06944444444444445,0.05767046609518913,6,BAJA,2052
CALDAS,2052,2052,0.0,20.76,3484.6311,964.82961,13.0,582.0,5.180992307692307,-75.45845384615384,5.180992307692307,-75.45845384615384,0.017495182326106216,0.02425774115448329,0.185916356806072,0.18055555555555555,0.05119062657547605,7,BAJA,2052
CAUCA,2052,2052,0.0,12.886666666666667,2679.610615384615,940.9190769230769,12.0,319.0,2.8567750000000003,-76.49352499999999,2.8567750000000003,-76.49352499999999,0.01706085465872444,0.014225035042263095,0.10190260794009788,0.16666666666666666,0.03471057690051672,8,BAJA,2052
TOLIMA,2052,2052,0.0,9.676666666666666,3103.227333333333,986.2170000000001,11.0,187.0,4.164000000000001,-75.11220909090909,4.164000000000001,-75.11220909090909,0.0178836778556789,0.010134647241218195,0.05973601155109186,0.1527777777777778,0.026793155936189687,9,BAJA,2052
CORDOBA,2052,2052,0.0,11.673333333333334,2501.739,665.8798499999999,1.0,338.0,8.1736,-76.0592,8.1736,-76.0592,0.012064849530621306,0.012678927919126707,0.10797204226881844,0.013888888888888888,0.025519868972753747,10,BAJA,2052
BOLIVAR,2052,2052,0.0,25.133333333333333,4089.3492037037036,1513.8807277777778,0.0,0.0,0.0,0.0,,,0.027468531330521927,0.02983052287304082,0.0,0.0,0.019936569394121015,11,BAJA,2052
META,2052,2052,0.0,28.12333333333333,2626.992142857143,1018.0033999999999,0.0,0.0,0.0,0.0,,,0.01846106828532969,0.03364057256934121,0.0,0.0,0.01747659908493424,12,BAJA,2052
RISARALDA,2052,2052,0.0,14.783333333333333,4485.1376666666665,1187.4823999999999,3.0,0.0,4.951133333333334,-75.74396666666667,4.951133333333334,-75.74396666666667,0.02153960352765933,0.016641889308924098,0.0,0.041666666666666664,0.015691741537074293,13,BAJA,2052
BOYACA,2052,2052,0.0,13.37,2849.8513333333335,1119.5994999999998,3.0,1.0,4.6792,-74.0459,4.6792,-74.0459,0.020306530993589984,0.014840929363292699,0.0003194439120379244,0.041666666666666664,0.014706141126562825,14,BAJA,2052
NORTE DE SANTANDER,2052,2052,0.0,14.483333333333334,3743.4908095238097,1347.0711571428571,0.0,0.0,0.0,0.0,,,0.024438485472583902,0.016259610075181584,0.0,0.0,0.014653277211588036,15,BAJA,2052
ATLANTICO,2052,2052,0.0,22.44666666666667,2486.892444444444,660.3234333333334,0.0,0.0,0.0,0.0,,,0.011963918887123287,0.026406999957524532,0.0,0.0,0.012707667542106674,16,BAJA,2052
QUINDIO,2052,2052,0.0,11.606666666666666,3007.2506666666663,689.4926666666665,4.0,0.0,4.53075,-75.65095,4.53075,-75.65095,0.012493769268636056,0.012593976978295035,0.0,0.05555555555555555,0.011553478578720713,17,BAJA,2052
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",2052,2052,0.0,6.22,2484.624333333333,691.0124999999999,0.0,0.0,0.0,0.0,,,0.012521376585643675,0.005729940959096121,0.0,0.0,0.006727532921986306,18,BAJA,2052
NARINO,2052,2052,0.0,4.03,1317.1063333333336,366.02459999999996,2.0,0.0,4.282,-75.77105,4.282,-75.77105,0.006618068780660759,0.002939302552775772,0.0,0.027777777777777776,0.004917907166985924,19,BAJA,2052
CASANARE,2052,2052,0.0,6.136666666666667,242.71516666666662,185.93104999999997,0.0,0.0,0.0,0.0,,,0.00334672341875011,0.005623752283056535,0.0,0.0,0.003025815052417004,20,BAJA,2052
MAGDALENA,2052,2052,0.0,5.51,117.07666666666667,164.8052,0.0,0.0,0.0,0.0,,,0.0029629786848941785,0.004825213439238839,0.0,0.0,0.002632755505729323,21,BAJA,2052
CAQUETA,2052,2052,0.0,4.48,15.680000000000001,4.953600000000001,0.0,0.0,0.0,0.0,,,5.9322278243322966e-05,0.0035127214033895426,0.0,0.0,0.001077545332314192,22,BAJA,2052
GUAINIA,2052,2052,0.0,2.2533333333333334,8.224666666666666,2.535,0.0,0.0,0.0,0.0,,,1.5389134095089482e-05,0.0006753599796117742,0.0,0.0,0.00020876364752156807,23,BAJA,2052
CESAR,2052,2052,0.0,1.8533333333333333,6.95,2.4464,0.0,0.0,0.0,0.0,,,1.3779741648412276e-05,0.0001656543346217558,0.0,0.0,5.520819704589165e-05,24,BAJA,2052
CHOCO,2052,2052,0.0,1.7766666666666666,6.484833333333333,2.3452,0.0,0.0,0.0,0.0,,,1.1941473977941249e-05,6.796075266533564e-05,0.0,0.0,2.5164815390777188e-05,25,BAJA,2052
ARAUCA,2052,2052,0.0,1.74,5.742,1.6877999999999997,0.0,0.0,0.0,0.0,,,0.0,2.1237735207917353e-05,0.0,0.0,6.371320562375206e-06,26,BAJA,2052
AMAZONAS,2052,2052,0.0,1.7233333333333334,4.136,2.1714,0.0,0.0,0.0,0.0,,,8.784449065610573e-06,0.0,0.0,0.0,3.5137796262442294e-06,27,BAJA,2052
