departamento,anio_escenario,escenario_energetico_base,ranking_prioridad,categoria_prioridad,indice_prioridad_territorial,demanda_futura,consumo_energetico,cantidad_ev_modelada,capacidad_hidraulica_total,total_activos_hidraulicos,criterio_demanda,criterio_crecimiento_ev,criterio_soporte_hidraulico,criterio_cobertura_hidraulica,criterio_brecha_soporte_hidraulico,criterio_brecha_cobertura_hidraulica,peso_demanda,peso_crecimiento_ev,peso_brecha_soporte_hidraulico,peso_brecha_cobertura_hidraulica,sin_soporte_hidraulico,sin_cobertura_hidraulica,consistencia_territorial_ok,observacion_prioridad
BOGOTA D.C.,2052,medio,1,ALTA,0.8986111111111111,248073.4957422001,951269.0583475193,3191.0,0.0,2.0,1.0,1.0,0.0,0.027777777777777776,1.0,0.9722222222222222,0.4,0.3,0.15,0.05,True,False,True,Alta demanda proyectada y baja cobertura hidraulica
ANTIOQUIA,2052,medio,2,MEDIA,0.527929715851638,208118.91598118705,672384.110445151,2046.0,3130.44,72.0,0.838940554122984,0.641178314008148,1.0,1.0,0.0,0.0,0.4,0.3,0.15,0.05,False,False,True,Prioridad balanceada
SANTANDER,2052,medio,3,BAJA,0.2515928826214629,34965.7594736842,132405.10526315786,420.0,837.0,6.0,0.14094919479032492,0.13162018176120338,0.2673745543757427,0.08333333333333333,0.7326254456242574,0.9166666666666666,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
CUNDINAMARCA,2052,medio,4,BAJA,0.24401099734388854,30664.164698412696,88726.85978835978,494.0,836.25,17.0,0.12360919334276296,0.15481040426198683,0.2671349714417143,0.2361111111111111,0.7328650285582857,0.7638888888888888,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
NORTE DE SANTANDER,2052,medio,5,BAJA,0.23103000427852866,14579.80714285714,45953.34285714286,80.0,0.0,0.0,0.05877212758757828,0.025070510811657787,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
CAUCA,2052,medio,6,BAJA,0.22954788764367173,24576.973846153847,95136.23076923077,144.0,319.0,12.0,0.09907134082431132,0.045126919460984016,0.10190260794009788,0.16666666666666666,0.8980973920599021,0.8333333333333334,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
BOLIVAR,2052,medio,7,BAJA,0.2169777097572495,6622.783333333333,21505.344444444443,67.0,0.0,0.0,0.02669685978955116,0.020996552804763396,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
META,2052,medio,8,BAJA,0.21355176902685796,3506.8650000000002,5924.807142857143,84.0,0.0,0.0,0.014136395302964415,0.026324036352240676,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
CAQUETA,2052,medio,9,BAJA,0.20823856756936332,95.09142857142858,301.0,86.0,0.0,0.0,0.00038331958150921667,0.02695079912253212,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
QUINDIO,2052,medio,10,BAJA,0.20808352343659353,2771.18,4757.9,68.0,0.0,4.0,0.01117080239349645,0.02130993418990912,0.0,0.05555555555555555,1.0,0.9444444444444444,0.4,0.3,0.15,0.05,True,False,True,Presion territorial baja en el escenario base
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",2052,medio,11,BAJA,0.20136262012934925,611.85,2310.1,4.0,0.0,0.0,0.0024664061679359707,0.0012535255405828893,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
ATLANTICO,2052,medio,12,BAJA,0.20088247991611413,80.85000000000001,183.8,8.0,0.0,0.0,0.00032591147941100473,0.0025070510811657787,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
CASANARE,2052,medio,13,BAJA,0.20046697231316746,114.69,146.9,3.0,0.0,0.0,0.00046232266634073127,0.000940144155437167,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
MAGDALENA,2052,medio,14,BAJA,0.200392381515208,68.42999999999999,51.300000000000004,3.0,0.0,0.0,0.0002758456714421156,0.000940144155437167,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
ARAUCA,2052,medio,15,BAJA,0.20028673540447944,2.9099999999999997,9.9,3.0,0.0,0.0,1.1730394620730037e-05,0.000940144155437167,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
CESAR,2052,medio,16,BAJA,0.2001922856340838,2.64,7.5,2.0,0.0,0.0,1.0642007490971582e-05,0.0006267627702914447,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
GUAINIA,2052,medio,17,BAJA,0.20019165678818662,2.25,7.3,2.0,0.0,0.0,9.069892747987143e-06,0.0006267627702914447,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
AMAZONAS,2052,medio,18,BAJA,0.20009604607151926,1.26,2.4,1.0,0.0,0.0,5.0791399388728006e-06,0.00031338138514572234,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
CHOCO,2052,medio,19,BAJA,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.3,0.15,0.05,True,True,True,Presion territorial baja en el escenario base
NARINO,2052,medio,20,BAJA,0.19949829760188795,375.3,1349.2,3.0,0.0,2.0,0.0015128581103642554,0.000940144155437167,0.0,0.027777777777777776,1.0,0.9722222222222222,0.4,0.3,0.15,0.05,True,False,True,Presion territorial baja en el escenario base
BOYACA,2052,medio,21,BAJA,0.19909476943906168,410.52,933.9,6.0,1.0,3.0,0.0016548321648460808,0.001880288310874334,0.0003194439120379244,0.041666666666666664,0.999680556087962,0.9583333333333334,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
RISARALDA,2052,medio,22,BAJA,0.1989515874783492,350.31,1073.7,5.0,0.0,3.0,0.001412121834909945,0.0015669069257286117,0.0,0.041666666666666664,1.0,0.9583333333333334,0.4,0.3,0.15,0.05,True,False,True,Presion territorial baja en el escenario base
VALLE DEL CAUCA,2052,medio,23,BAJA,0.18822395567796624,7485.6332142857145,23989.96428571429,125.0,569.0,12.0,0.03017506240192964,0.03917267314321529,0.18176358594957898,0.16666666666666666,0.818236414050421,0.8333333333333334,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
CORDOBA,2052,medio,24,BAJA,0.1860257088550119,1050.45,3952.0,13.0,338.0,1.0,0.0042344305942769314,0.00407395800689439,0.10797204226881844,0.013888888888888888,0.8920279577311816,0.9861111111111112,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
TOLIMA,2052,medio,25,BAJA,0.18412582488632606,216.48,788.6999999999999,4.0,187.0,11.0,0.0008726446142596696,0.0012535255405828893,0.05973601155109186,0.1527777777777778,0.9402639884489081,0.8472222222222222,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
CALDAS,2052,medio,26,BAJA,0.1681742925184999,1115.7224999999999,2325.725,35.0,582.0,13.0,0.004497548182896037,0.010968348480100282,0.185916356806072,0.18055555555555555,0.814083643193928,0.8194444444444444,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
HUILA,2052,medio,27,BAJA,0.15277572288307423,333.29999999999995,916.2,8.0,940.0,5.0,0.001343553445735162,0.0025070510811657787,0.3002772773156489,0.06944444444444445,0.6997227226843511,0.9305555555555556,0.4,0.3,0.15,0.05,False,False,True,Presion territorial baja en el escenario base
